"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","html-keyboard-response","260","409011","0.0-405.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","261","409710","0.0-406.0","o6g1w3c4","1280","720","","","","","","","","","","","698","dpa","Inducer trial","","j","5","","true","","","","1","","","","",""
"","html-keyboard-response","262","411219","0.0-409.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","",""
"","html-keyboard-response","263","418563","0.0-410.0","o6g1w3c4","1280","720","","","","","","","","","","","7344","If swr press LEFT | If wrz press RIGHT","Inducer instructions",""," ","6","","","","","","","","","","",""
"","html-keyboard-response","264","419329","0.0-411.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","265","420189","0.0-412.0","o6g1w3c4","1280","720","","","","","","","","","","","860","swr","Diagnostic trial","","f","6","0","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","266","420943","0.0-415.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","267","421556","0.0-416.0","o6g1w3c4","1280","720","","","","","","","","","","","612","wrz","Diagnostic trial","","f","6","1","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","268","422319","0.0-419.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","269","422871","0.0-420.0","o6g1w3c4","1280","720","","","","","","","","","","","551","wrz","Diagnostic trial","","f","6","2","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","270","423647","0.0-423.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","271","424180","0.0-424.0","o6g1w3c4","1280","720","","","","","","","","","","","532","wrz","Diagnostic trial","","j","6","3","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","272","424934","0.0-427.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","273","425348","0.0-428.0","o6g1w3c4","1280","720","","","","","","","","","","","413","wrz","Diagnostic trial","","j","6","4","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","274","426100","0.0-431.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
