"","x"
"880","ucs"
"881","ucu"
"882","udi"
"883","uen"
"884","ufa"
"885","uhr"
"886","ums"
"887","unk"
"888","urb"
"889","urk"
"890","utc"
"891","v5s"
"892","vh1"
"893","vkb"
"894","vma"
"895","vro"
"896","vsd"
"897","vuk"
"898","vur"
"899","waf"
"900","wbr"
"901","wik"
"902","wip"
"903","wnt"
"904","woi"
"905","wrt"
"906","wsh"
"907","wut"
"908","wwt"
"909","xav"
"910","xim"
"911","xj6"
"912","xlv"
"913","xps"
"914","xss"
"915","y2k"
"916","yef"
"917","yez"
"918","yfc"
"919","yof"
"920","yoy"
"921","yve"
"922","zal"
"923","zin"
"924","ziz"
"925","zob"
"926","zom"
"927","zrb"
"928","zyl"
"929","a&p"
"930","a15"
"931","a16"
"932","a17"
"933","a24"
"934","a26"
"935","a44"
"936","aad"
"937","abl"
"938","aek"
"939","agb"
"940","agc"
"941","ahl"
"942","ahm"
"943","ahn"
"944","aht"
"945","aif"
"946","aio"
"947","akt"
"948","alg"
"949","apl"
"950","apm"
"951","aru"
"952","asb"
"953","aub"
"954","aul"
"955","avb"
"956","ays"
"957","b26"
"958","b30"
"959","bba"
"960","bce"
"961","bch"
"962","bcs"
"963","bdm"
"964","bek"
"965","bhb"
"966","bij"
"967","bkk"
"968","bmf"
"969","bnb"
"970","brs"
"971","brt"
"972","bsn"
"973","bsp"
"974","btc"
"975","bux"
"976","bwv"
"977","bzp"
"978","c17"
"979","c1s"
"980","c2k"
"981","cca"
"982","cdo"
"983","cdt"
"984","cef"
"985","cf5"
"986","chc"
"987","chf"
"988","cht"
"989","cj1"
"990","cks"
"991","clc"
"992","clr"
"993","cls"
"994","cnc"
"995","coc"
"996","cqd"
"997","crt"
"998","css"
"999","cvc"
"1000","cym"
"1001","dbe"
"1002","dbl"
"1003","dca"
"1004","dcu"
"1005","ddo"
"1006","dfl"
"1007","dhi"
"1008","dht"
"1009","dng"
"1010","dpa"
"1011","duf"
"1012","duz"
"1013","dvr"
"1014","dyb"
"1015","e63"
"1016","eal"
"1017","eba"
"1018","ebe"
"1019","ebi"
"1020","ecd"
"1021","ecp"
"1022","eez"
"1023","efr"
"1024","egs"
"1025","eil"
"1026","eit"
"1027","emt"
"1028","eph"
"1029","erg"
"1030","erk"
"1031","esb"
"1032","etd"
"1033","exs"
"1034","eyo"
"1035","fao"
"1036","fdp"
"1037","feh"
"1038","fex"
"1039","flt"
"1040","frk"
"1041","frn"
"1042","fuf"
"1043","fyd"
"1044","gac"
"1045","gce"
"1046","gch"
"1047","gdz"
"1048","geb"
"1049","geg"
"1050","gft"
"1051","ghe"
"1052","gid"
"1053","grp"
"1054","gsh"
"1055","gsi"
"1056","guf"
"1057","gxl"
"1058","h&k"
"1059","hac"
"1060","hct"
"1061","hdl"
"1062","heg"
"1063","hiy"
"1064","hrp"
"1065","hta"
"1066","huu"
"1067","hwn"
"1068","iar"
"1069","ibc"
"1070","ibe"
"1071","ibi"
"1072","ibw"
"1073","ic3"
"1074","idp"
"1075","idy"
